1	0.063377	0.063188	0.007589	125676
2	0.854264	0.853810	0.064541	125677
3	1.969295	1.969522	0.232687	125677
4	3.905540	3.899943	0.693590	125677
5	11.358972	11.331934	2.641516	125676
6	42.653809	42.684441	8.170924	125677
7	73.259178	73.256798	12.190134	126029
8	93.998566	94.023369	14.475369	145185
9	110.271889	110.306938	16.685696	163936
10	131.956970	131.945618	16.708090	182461
1	0.065979	0.065372	0.007652	125968
2	0.861934	0.856698	0.066172	125969
3	1.976780	1.984065	0.226667	125968
4	4.007626	4.005805	0.872882	125969
5	15.912357	15.911029	3.480391	125971
6	46.377167	46.378532	9.860413	125971
7	74.157761	74.188301	13.538706	126155
8	94.865311	94.852257	15.105254	145361
9	112.704559	112.676559	16.543556	163378
10	136.521835	136.584442	18.151270	181591
1	0.091255	0.090989	0.066376	114569
2	1.032513	1.044017	0.540175	114569
3	2.473984	2.488364	2.045327	114571
4	7.386776	7.411274	14.047686	114569
5	50.023781	50.031235	71.555634	114571
6	83.252892	83.290916	95.539299	133189
7	112.774994	112.778908	103.518341	155933
8	134.187897	134.270111	122.644196	178001
9	164.164398	164.269608	141.313095	200269
10	184.335938	184.369492	160.325592	222361
1	0.088607	0.088820	0.064952	117493
2	1.002850	1.016592	0.517586	117493
3	2.430809	2.448786	2.269176	117496
4	9.020374	9.039443	15.766525	117497
5	41.697479	41.718521	56.338814	120166
6	79.180382	79.181183	95.370628	133933
7	106.238731	106.213005	111.420204	156157
8	135.081467	135.102570	126.389450	178217
9	162.298706	162.333466	142.019531	200341
10	185.222519	185.210526	163.340225	222191
