1	0.268260	0.173170	0.970290
2	0.742754	0.536669	2.885206
3	1.382062	1.198495	12.240941
4	981.967834	686.486084	479.427795
5	5769.537109	5824.470215	1047.126587
6	13049.751953	12536.154297	1175.782349
4	981.967834	686.486084	479.427795
1	0.340405	0.329514	0.034558	125677	34107	0
2	0.930119	0.898431	0.062780	125677	34736	0
3	1.738098	1.666969	0.148021	125677	34599	0
4	2.844621	2.739951	0.266127	125677	34490	0
5	4.564795	4.406920	0.588427	125676	34097	0
6	8.988164	8.797353	1.174583	125677	33604	1
7	20.463490	20.167290	2.243224	125679	32926	2
8	54.329288	54.967289	4.176277	125681	32018	12
9	102.875290	104.564682	6.844491	125677	31450	19
10	138.064102	140.379089	8.333074	131621	31092	22
